disease_id,disease_name,species,pathogen_type,target_system,zoonotic_risk,key_symptoms,molecular_target
D017,Plague,Rodents / Fleas / Humans,Bacteria,Lymphatic/Respiratory/Systemic,High,fever lymph node swelling septicemia pneumonia,Yersinia pestis virulence factors / bacterial protein synthesis
D018,African Swine Fever (ASF),Swine,Virus,Hemorrhagic/Systemic,Low,"high fever, hemorrhage, cyanosis, sudden death",viral DNA polymerase / viral replication proteins
D019,Lumpy Skin Disease (LSD),Cattle,Virus,Skin/Systemic,Low,"skin nodules, fever, lymphadenopathy, reduced milk production",viral DNA polymerase / envelope-associated proteins
D020,Foot and Mouth Disease (FMD),Cattle,Virus,Oral/Dermal/Systemic,Medium,"fever, salivation, oral vesicles, lameness",viral protease / RNA-dependent RNA polymerase
D021,Cysticercosis and Taeniasis,Humans / Swine,Parasite,CNS/Gastrointestinal/Systemic,High,seizures abdominal discomfort cysticerci in tissues neurocysticercosis,Taenia solium cysticerci / microtubule function
D022,Diphyllobothriasis,Humans / Fish,Parasite,Gastrointestinal/Hematologic,Medium,abdominal discomfort diarrhea vitamin B12 deficiency anemia,broad fish tapeworm energy metabolism
D023,Fascioliasis,Ruminants / Humans,Parasite,Hepatobiliary/Systemic,High,fever abdominal pain liver migration bile duct inflammation,Fasciola tegument / energy metabolism
D024,Cercarial Dermatitis,Humans / Birds / Cattle,Parasite,Cutaneous,Medium,itching rash papules swimmer itch,schistosome cercariae skin penetration
D025,Clonorchiasis,Humans / Fish,Parasite,Hepatobiliary,Medium,abdominal discomfort cholangitis bile duct inflammation,liver fluke tegument / energy metabolism
D026,Trichinellosis,Humans / Swine / Wild game,Parasite,Muscular/Gastrointestinal/Systemic,High,fever myalgia diarrhea facial edema muscle pain,Trichinella larvae muscle encystment
D027,Visceral Larva Migrans,Dogs / Cats / Humans,Parasite,Visceral/Ocular/Systemic,High,fever hepatomegaly eosinophilia ocular lesions,Toxocara larvae migration
D028,Cutaneous Larva Migrans,Dogs / Cats / Humans,Parasite,Cutaneous,Medium,itching creeping eruption serpiginous skin tracks,hookworm larvae skin migration
D029,Anisakiasis,Humans / Marine fish / Squid,Parasite,Gastrointestinal,Medium,acute abdominal pain nausea vomiting gastric irritation,Anisakis larvae gastric mucosal invasion
D030,Cryptosporidiosis,Calves / Humans,Protozoa,Gastrointestinal,High,watery diarrhea dehydration abdominal cramps,Cryptosporidium oocyst survival / intestinal epithelial infection
D031,Leishmaniasis,Dogs / Humans,Protozoa,Cutaneous/Visceral/Systemic,High,skin lesions fever weight loss splenomegaly,Leishmania intracellular amastigotes
D032,Giardiasis,Humans / Dogs / Livestock,Protozoa,Gastrointestinal,Medium,diarrhea malabsorption abdominal cramps greasy stool,Giardia trophozoite attachment / anaerobic metabolism
D033,Balantidiasis,Pigs / Humans,Protozoa,Gastrointestinal,Medium,diarrhea dysentery abdominal pain colitis,Balantidium coli cysts / trophozoite invasion
D034,Chagas Disease,Humans / Domestic mammals / Wildlife,Protozoa,Cardiac/Gastrointestinal/Systemic,High,fever cardiomyopathy megacolon chronic infection,Trypanosoma cruzi intracellular replication
D035,Toxoplasmosis,Cats / Humans / Livestock,Protozoa,Neurological/Reproductive/Systemic,High,abortion encephalitis ocular lesions fever,Toxoplasma tachyzoites / folate metabolism
